index,tsne1,tsne2,tsne_clusters,filename
31,-10.70285,2.572558,7,split_129_19700101_122640_short.WAV
32,-11.9191475,-6.0638437,3,split_12_19700101_122640_short.WAV
33,-11.152737,2.7139578,7,split_130_19700101_122640_short.WAV
34,3.444253,5.847052,9,split_131_19700101_122640_short.WAV
35,1.4570484,5.727974,9,split_132_19700101_122640_short.WAV
36,-11.701301,3.0368896,7,split_133_19700101_122640_short.WAV
37,-10.976796,2.65497,7,split_134_19700101_122640_short.WAV
38,-10.641337,2.5919745,7,split_135_19700101_122640_short.WAV
39,3.7342143,5.7668877,9,split_136_19700101_122640_short.WAV
40,-5.950223,-1.4621947,1,split_137_19700101_122640_short.WAV
41,4.423243,5.754318,9,split_138_19700101_122640_short.WAV
42,1.4852325,5.74041,9,split_139_19700101_122640_short.WAV
43,-12.740184,-5.8220205,3,split_13_19700101_122640_short.WAV
44,-11.702884,3.0373805,7,split_140_19700101_122640_short.WAV
45,1.4085515,5.7571383,9,split_141_19700101_122640_short.WAV
46,3.9607751,5.848135,9,split_142_19700101_122640_short.WAV
47,4.045539,5.9344835,9,split_143_19700101_122640_short.WAV
48,3.5352798,5.564041,9,split_144_19700101_122640_short.WAV
49,3.6421907,3.7346613,9,split_145_19700101_122640_short.WAV
50,5.32309,1.677651,0,split_146_19700101_122640_short.WAV
51,4.4012175,3.7283401,9,split_147_19700101_122640_short.WAV
52,-11.706402,3.046222,7,split_148_19700101_122640_short.WAV
53,-10.931455,2.7252588,7,split_149_19700101_122640_short.WAV
54,-12.465572,-5.3376355,3,split_14_19700101_122640_short.WAV
55,7.163959,3.7917256,5,split_150_19700101_122640_short.WAV
56,7.940113,4.405182,5,split_151_19700101_122640_short.WAV
57,8.442372,4.6214905,5,split_152_19700101_122640_short.WAV
58,8.833675,4.7060046,5,split_153_19700101_122640_short.WAV
59,8.540984,4.732535,5,split_154_19700101_122640_short.WAV
60,8.124382,4.3824205,5,split_155_19700101_122640_short.WAV
61,8.328804,6.063716,5,split_156_19700101_122640_short.WAV
62,9.74271,5.67685,5,split_157_19700101_122640_short.WAV
63,10.249132,6.4037237,5,split_158_19700101_122640_short.WAV
64,9.853147,6.754427,5,split_159_19700101_122640_short.WAV
65,-11.904395,-5.137612,3,split_15_19700101_122640_short.WAV
66,9.937527,6.7635837,5,split_160_19700101_122640_short.WAV
67,10.107245,6.5333824,5,split_161_19700101_122640_short.WAV
68,9.344226,6.6364794,5,split_162_19700101_122640_short.WAV
69,9.783454,6.7280555,5,split_163_19700101_122640_short.WAV
70,9.636793,6.776974,5,split_164_19700101_122640_short.WAV
71,9.073882,7.010143,5,split_165_19700101_122640_short.WAV
72,7.955418,5.863199,5,split_166_19700101_122640_short.WAV
73,7.4431233,6.210858,5,split_167_19700101_122640_short.WAV
74,8.224657,5.380025,5,split_168_19700101_122640_short.WAV
75,8.348251,5.7151546,5,split_169_19700101_122640_short.WAV
76,-11.077305,-5.74688,3,split_16_19700101_122640_short.WAV
77,7.852792,6.1534696,5,split_170_19700101_122640_short.WAV
78,8.0674715,5.9897656,5,split_171_19700101_122640_short.WAV
79,8.481202,5.5826254,5,split_172_19700101_122640_short.WAV
80,8.783656,5.4351864,5,split_173_19700101_122640_short.WAV
81,9.695025,6.281807,5,split_174_19700101_122640_short.WAV
82,10.317874,6.2980065,5,split_175_19700101_122640_short.WAV
